Season,TeamID,TeamName,AdjO,AdjD,Tempo,Rating,Seed,SOS
2010,175,Marquette,114.599,94.1043,61.8892,20.4947,6,31.568
2010,176,Louisville,115.013,97.1787,65.9182,17.834,9,30.501
2010,177,Lehigh,104.907,106.362,68.4313,-1.45422,16,7.914
2010,178,Kentucky,114.384,89.4743,67.5908,24.9097,1,24.373
2010,179,Kansas St.,115.425,90.4885,69.501,24.9367,2,35.3
2010,180,Kansas,119.854,87.3419,66.6569,32.5121,1,33.083
2010,181,Houston,111.84,102.537,70.8516,9.30246,13,20.266
2010,182,Gonzaga,112.378,95.585,67.0743,16.7934,8,22.1
2010,183,Georgia Tech,108.997,90.9613,67.9549,18.0357,10,33.163
2010,184,Georgetown,116.551,92.2687,65.0947,24.2828,3,35.728
2010,185,Florida St.,104.941,86.3361,64.8904,18.605,9,31.177
2010,186,Florida,112.433,97.4388,63.5599,14.9939,10,29.304
2010,187,East Tennessee St.,100.3,97.8928,66.1025,2.40771,16,13.94
2010,188,Duke,119.296,87.7467,64.9637,31.5489,1,31.735
2010,189,Cornell,115.443,101.891,63.4422,13.552,12,16.574
2010,190,Clemson,109.94,90.3071,67.2015,19.633,7,30.403
2010,191,California,119.968,97.7354,67.121,22.2322,8,28.292
2010,192,BYU,117.315,92.8309,70.9239,24.4842,7,21.607
2010,193,Butler,110.745,90.7154,63.243,20.0295,5,20.638
2010,194,Baylor,118.384,94.9837,64.0252,23.4007,3,33.152
2010,195,Arkansas Pine Bluff,91.8221,99.7369,64.9785,-7.91476,16,18.903
2010,239,Winthrop,90.8904,95.0021,63.9135,-4.11173,16,11.305
2011,4,Alabama St.,92.3675,105.437,63.859,-13.0699,16,8.673
2011,97,Little Rock,100.167,104.657,64.4828,-4.48952,16,9.995
2011,196,Xavier,112.808,96.2683,64.8622,16.5395,6,21.915
2011,197,Wofford,111.911,104.341,63.4771,7.57016,14,16.242
2011,198,Wisconsin,121.946,96.348,56.891,25.5977,4,34.801
2011,199,West Virginia,113.313,93.145,62.7344,20.1684,5,34.766
2011,200,Washington,116.488,94.2736,70.7555,22.2141,7,26.105
2011,201,Villanova,114.746,96.4465,65.5804,18.299,9,29.148
2011,202,VCU,109.563,100.813,65.9737,8.74997,11,18.893
2011,203,Vanderbilt,115.206,97.7687,66.882,17.437,5,26.811
2011,204,UTSA,101.474,106.668,67.0401,-5.19344,16,8.721
2011,205,Utah St.,110.413,90.2135,62.8424,20.1997,12,14.937
2011,207,UAB,108.63,96.1119,62.1202,12.5184,12,18.86
2011,208,UNC Asheville,101.432,99.0391,67.7991,2.393,16,12.978
2011,209,UCLA,107.561,93.8189,65.5545,13.7419,7,26.572
2011,210,UC Santa Barbara,103.503,99.4018,64.4276,4.10161,15,15.425
2011,212,Texas A&M,109.943,94.5593,61.4192,15.3838,7,25.412
2011,213,Texas,114.882,88.1564,65.8605,26.7252,4,27.862
2011,214,Tennessee,107.96,94.5968,66.3754,13.3636,9,29.673
2011,215,Temple,109.724,92.7362,64.7767,16.988,7,20.89
2011,216,Syracuse,114.248,91.6187,65.0381,22.6298,3,31.253
2011,217,St. John's,110.496,93.6698,66.3588,16.8263,6,34.3
2011,218,San Diego St.,113.834,88.2242,62.8786,25.6096,2,24.555
2011,219,Saint Peter's,95.0018,91.7599,64.6119,3.24183,14,15.033
2011,220,Richmond,111.003,95.4298,63.1619,15.5729,12,18.354
2011,221,Purdue,115.013,89.4016,66.3974,25.6115,3,34.119
2011,222,Princeton,106.219,97.4016,63.3505,8.81724,13,13.655
2011,223,Pittsburgh,119.627,92.2012,62.2651,27.4261,1,29.684
2011,224,Penn St.,111.847,97.4264,59.8734,14.4209,10,37.339
2011,225,Old Dominion,109.126,94.8747,60.8228,14.251,9,17.783
2011,226,Ohio St.,123.643,91.4115,64.4098,32.232,1,31.137
2011,227,Oakland,117.282,104.345,71.6088,12.9371,13,21.674
2011,228,Notre Dame,121.279,96.6246,63.3777,24.6542,2,33.256
2011,229,Northern Colorado,106.011,101.426,67.118,4.58447,15,13.609
2011,230,North Carolina,110.652,89.1087,70.5943,21.5431,2,33.486
2011,231,Morehead St.,105.208,98.4152,63.8399,6.79253,13,13.533
2011,232,Missouri,112.932,96.3729,71.2086,16.559,11,27.072
2011,233,Michigan St.,108.503,93.7079,65.0151,14.7956,10,40.022
2011,234,Michigan,110.77,95.3533,61.959,15.4164,8,36.499
2011,235,Memphis,103.673,96.7112,67.8874,6.96184,12,19.129
2011,236,Marquette,115.623,97.4927,66.7571,18.1301,11,33.868
2011,237,Louisville,111.247,88.3769,66.988,22.87,4,30.743
2011,238,LIU Brooklyn,108.912,103.533,73.2043,5.37973,15,7.968
2011,240,Kentucky,117.76,92.4889,65.932,25.2715,4,30.75
2011,241,Kansas St.,109.524,92.0845,66.786,17.4393,5,29.925
2011,242,Kansas,119.505,90.8029,68.9821,28.7018,1,26.504
2011,243,Indiana St.,101.49,96.8677,65.4175,4.62225,14,19.995
2011,244,Illinois,112.305,92.727,65.2946,19.5782,9,35.021
2011,245,Hampton,93.9345,97.7279,66.566,-3.79341,16,5.179
2011,246,Gonzaga,110.61,94.1013,66.6571,16.5087,11,21.413
2011,247,Georgia,107.153,95.1889,64.1695,11.9637,10,26.274
2011,248,Georgetown,114.287,95.2916,63.7784,18.9952,6,35.555
2011,249,George Mason,113.269,94.9599,65.0301,18.3096,8,15.383
2011,250,Florida St.,103.157,88.1874,67.5152,14.9701,10,27.172
2011,251,Florida,114.555,95.0304,62.5758,19.5245,2,28.23
2011,252,Duke,118.637,89.0891,69.1256,29.5475,1,29.3
2011,253,Connecticut,114.804,93.1006,65.3986,21.703,3,35.894
2011,254,Clemson,107.856,90.4152,64.0185,17.4409,12,27.126
2011,255,Cincinnati,109.822,90.218,63.2667,19.6039,6,26.215
2011,256,BYU,117.73,94.2638,70.3423,23.4657,3,24.953
2011,257,Butler,112.272,97.278,63.7754,14.9935,8,20.08
2011,258,Bucknell,105.356,97.7759,65.0026,7.57974,14,12.621
2011,259,Boston University,102.907,103.292,63.0646,-0.38517,16,11.596
2011,260,Belmont,112.236,93.268,68.7655,18.9677,13,10.427
2011,261,Arizona,115.936,97.0522,65.5658,18.8834,5,25.335
2011,263,Akron,103.29,99.533,66.2222,3.75741,15,13.032
2012,30,California,111.11,94.5611,65.1101,16.549,12,22.077
2012,81,Iona,115.979,103.63,69.0723,12.3492,14,13.603
2012,93,Lamar,107.54,100.064,65.5439,7.476,16,15.047
2012,121,Mississippi Valley St.,98.6794,105.054,67.9152,-6.3745,16,15.977
2012,264,Xavier,107.588,95.9824,65.9384,11.6059,10,26.514
2012,265,Wisconsin,111.961,88.662,57.0497,23.2991,4,30.936
2012,266,Wichita St.,116.963,93.7271,65.0878,23.2362,5,19.263
2012,267,Western Kentucky,98.1875,101.022,66.9018,-2.83435,16,14.83
2012,268,West Virginia,111.599,97.0738,63.2691,14.5249,10,27.223
2012,269,Virginia,106.186,88.8224,58.3843,17.3633,10,24.63
2012,270,Vermont,104.447,100.224,61.3192,4.2234,16,10.413
2012,271,VCU,107.166,94.5327,64.298,12.6331,12,15.249
2012,272,Vanderbilt,114.775,94.4476,63.9958,20.3275,5,29.822
2012,273,UNLV,109.975,93.9097,67.7911,16.0655,6,23.486
2012,274,UNC Asheville,109.605,104.64,67.7396,4.96548,16,12.309
2012,275,Texas,113.26,96.748,64.1535,16.5122,11,30.593
2012,276,Temple,114.086,98.5508,65.2739,15.5352,5,24.848
2012,277,Syracuse,116.026,90.5173,64.1527,25.5085,1,26.368
2012,278,St. Bonaventure,110.138,98.5497,62.409,11.5887,14,21.028
2012,279,Southern Miss,111.225,99.9599,63.0961,11.2651,9,18.877
2012,280,South Florida,102.792,91.3144,57.9277,11.4773,12,28.86
2012,281,South Dakota St.,113.756,102.043,64.332,11.7129,14,12.437
2012,282,San Diego St.,107.254,94.7608,65.1097,12.4935,6,21.466
2012,283,Saint Mary's,114.424,98.8981,62.3728,15.5262,7,17.195
2012,284,Saint Louis,111.629,91.0501,61.301,20.5785,9,20.497
2012,285,Purdue,116.142,100.148,63.7048,15.9933,10,30.358
2012,286,Ohio St.,117.705,87.8032,65.7505,29.9016,2,31.751
2012,287,Ohio,105.736,94.9527,65.5881,10.7829,13,13.978
2012,288,Notre Dame,110.251,96.0393,59.5561,14.2112,7,28.605
2012,289,North Carolina St.,111.847,98.7065,66.3856,13.1406,11,25.85
2012,290,North Carolina,117.11,90.8369,70.0151,26.2727,1,27.923
2012,291,Norfolk St.,99.5279,101.974,66.0683,-2.44646,15,10.649
2012,292,New Mexico St.,109.141,97.4887,69.1013,11.6518,13,13.259
2012,293,New Mexico,110.405,90.4523,65.0743,19.9522,5,17.632
2012,294,Murray St.,110.21,95.1414,64.2846,15.069,6,10.654
2012,295,Montana,103.543,95.6693,63.555,7.87347,13,8.906
2012,296,Missouri,124.486,97.8055,64.7708,26.6802,2,26.073
2012,298,Michigan St.,115.088,86.2697,63.9032,28.8179,1,34.349
2012,299,Michigan,113.975,95.8679,59.5682,18.1066,4,35.211
2012,300,Memphis,114.7,92.1444,66.8618,22.5554,8,21.423
2012,301,Marquette,112.422,93.0852,69.187,19.3365,3,28.97
2012,302,Loyola MD,103.745,100.068,62.6291,3.6774,15,13.469
2012,303,Louisville,105.207,86.3916,65.9921,18.8157,4,29.249
2012,304,Long Beach St.,111.581,95.9447,65.5618,15.6363,12,20.418
2012,305,LIU Brooklyn,108.1,107.557,72.7955,0.542871,16,9.99
2012,306,Lehigh,108.606,99.6982,67.0402,8.90823,15,12.009
2012,308,Kentucky,120.566,88.8382,64.0843,31.7277,1,27.605
2012,309,Kansas St.,109.953,91.6575,65.8239,18.2953,8,27.769
2012,310,Kansas,116.066,89.1479,65.9779,26.918,2,30.956
2012,311,Iowa St.,112.844,96.3879,65.1229,16.4561,8,26.236
2012,313,Indiana,119.547,97.0081,66.0427,22.5388,4,30.826
2012,314,Harvard,108.398,93.6424,59.748,14.756,12,13.314
2012,315,Gonzaga,111.604,94.5893,64.3904,17.0149,7,16.61
2012,316,Georgetown,109.993,89.6577,61.6397,20.3352,3,30.075
2012,317,Florida St.,107.767,89.7815,66.0495,17.9858,3,28.697
2012,318,Florida,120.271,99.98,63.4917,20.2909,7,29.274
2012,319,Duke,117.909,97.043,65.6315,20.8659,2,30.241
2012,320,Detroit,108.41,102.907,66.4169,5.50243,15,14.806
2012,321,Davidson,111.768,101.075,66.7002,10.6934,13,14.315
2012,322,Creighton,119.641,102.559,65.4893,17.0818,8,19.015
2012,323,Connecticut,111.126,96.1075,62.2672,15.0185,9,28.532
2012,324,Colorado St.,113.273,103.767,63.0838,9.50647,11,21.586
2012,325,Colorado,104.614,96.2689,64.2147,8.34556,11,22.136
2012,326,Cincinnati,109.258,94.1152,61.9205,15.1423,6,26.957
2012,328,BYU,106.894,93.9601,71.6581,12.9336,14,17.804
2012,329,Belmont,117.088,99.4192,66.7473,17.6692,14,15.656
2012,330,Baylor,115.656,94.2364,64.8088,21.4193,3,30.445
2012,331,Alabama,106.031,89.3714,61.5091,16.6596,9,26.959
2013,17,Boise St.,113.2,98.0999,64.2697,15.1001,13,25.683
2013,95,Liberty,100.529,110.044,63.8178,-9.51521,16,10.16
2013,98,LIU Brooklyn,111.069,112.442,66.723,-1.37364,16,9.217
2013,116,Middle Tennessee,107.517,91.9796,62.9037,15.5372,11,12.743
